Crimes,January,February,March,April,May,June,July,August,September,October,November,December
Murder,0,0,0,2,0,0,0,0,1,1,0,0
Homicide,0,0,0,0,1,0,1,0,2,0,1,1
Physical Injury,68,20,16,12,4,11,18,24,16,14,21,28
Rape,1,1,1,1,0,0,2,0,1,1,5,4
Rape w/Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Kidnapping w/Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Kidnapping w/Rape,0,0,0,0,0,0,0,0,0,0,0,0
Robbery,6,9,3,1,2,2,1,5,3,4,3,5
Robbery w/Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Robbery w/Rape,0,0,0,0,0,0,0,0,0,0,0,0
Robbery w/Serious Physical Injuries,0,0,0,0,0,0,0,0,0,0,0,0
Robbery w/Arson,0,0,0,0,0,0,0,0,0,0,0,0
Robbery in Band,0,0,0,0,0,0,0,0,0,0,0,0
Theft,67,27,15,12,10,14,8,19,22,14,32,32
Carnapping MV,0,0,0,0,0,0,0,0,0,0,0,0
Carnapping MC,6,2,2,2,1,5,2,0,2,2,2,2
Carnapping Occupant is Killed/Raped MV,0,0,0,0,0,0,0,0,0,0,0,0
Carnapping Occupant is Killed/Raped MC,0,0,0,0,0,0,0,0,0,0,0,0
Arson w/Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Acts of Lasciviousness,0,1,3,1,0,3,5,6,2,0,0,0
Adultery,1,0,0,0,0,0,0,0,2,0,0,0
Alarms & Scandals,4,6,4,5,3,7,4,6,10,6,2,12
Corruption of Public Official,0,1,0,0,0,0,0,0,0,0,0,0
Direct Assaults,2,1,0,0,1,0,2,2,0,0,1,1
Grave Threats,2,5,2,0,3,0,1,3,4,3,6,2
Frust/Attemp Anti-Child Abuse Law,0,0,0,0,0,0,0,0,0,0,0,0
Frust/Attemp Anti-VAWC Act 2004,0,0,0,0,0,0,0,0,0,0,0,0
Frust/Attemp Homicide,0,0,0,3,0,0,0,0,1,1,1,2
Frust/Attemp Parricide,0,0,0,0,0,0,0,0,0,0,0,0
Inducing Minor to Abandon Home,0,0,0,0,0,0,1,0,0,0,0,0
Injuries in Tumultuous Affray,0,0,0,0,0,0,0,0,0,0,0,0
Libel,0,0,0,1,0,0,0,0,0,0,0,0
Libelous Remarks,0,0,0,0,0,0,0,0,0,0,0,0
Light Coercions,0,0,0,0,0,0,0,0,1,0,0,0
Light Threats,12,6,5,8,9,4,8,19,18,10,13,8
Malicious Mischief,8,11,2,10,5,3,2,8,7,7,9,8
Frust/Attemp Murder,1,0,0,0,0,1,0,0,0,0,0,1
Other Deceits,19,4,4,1,0,1,3,1,3,6,8,3
Other Forms of Arson,0,0,0,0,0,0,0,0,0,0,0,0
Other Forms of Swindling,0,1,0,0,0,0,0,0,0,0,0,0
Other Forms of Trespass,1,1,2,1,0,0,0,0,0,0,1,2
Other Light Threats,1,2,3,4,0,0,1,0,2,0,0,1
Possession/Use False Treasury/Bank Notes,0,0,0,0,0,0,0,0,0,0,0,0
Qualified Trespass to Dwelling,0,1,0,0,0,0,0,0,0,0,0,0
Resisiting Authorities ,0,0,0,0,0,0,3,1,0,0,0,3
Simple Seduction,2,1,0,0,0,0,0,0,0,0,0,0
Slander (Oral Defamation),2,0,2,2,2,0,1,2,1,1,0,0
Swindling (Estafa),1,2,0,0,6,1,0,9,2,0,3,0
Unjust Vexations,4,4,1,2,4,1,0,1,2,0,4,1
Frust/Attemp Unjust Vexations,0,0,0,0,0,0,0,0,0,0,0,0
Using Forged Signature/Seal/Stamp,0,0,0,0,0,0,0,0,1,0,0,0
Usurpation of Authority/Functions,0,0,0,0,0,0,0,0,0,0,0,0
RIR Homicide,1,2,0,0,0,0,0,0,1,0,1,1
RIR Physical Injury,16,25,31,20,16,27,29,22,12,22,18,31
RIR Damage to Property,41,29,41,27,31,40,24,29,38,37,30,34
Anti-Child Abuse Law,19,9,18,7,11,15,10,4,15,15,11,12
